Country Name,Country Code,Series Name,Year,Value
Jamaica,JAM,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2000,3.33738
Japan,JPN,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2000,7.65855
Jordan,JOR,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2000,0.49358
Kazakhstan,KAZ,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2000,6.64084
Kenya,KEN,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2000,2.15626
Kiribati,KIR,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2000,1.46528
"Korea, Dem. People's Rep.",PRK,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2000,3.873
"Korea, Rep.",KOR,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2000,10.92941
Kuwait,KWT,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2000,0.0
Kyrgyz Republic,KGZ,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2000,5.53183
Lao PDR,LAO,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2000,8.17678
Latvia,LVA,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2000,8.89898
Lebanon,LBN,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2000,2.28251
Lesotho,LSO,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2000,3.75571
Liberia,LBR,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2000,4.49717
Libya,LBY,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2000,0.00703
Lithuania,LTU,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2000,11.5037
Luxembourg,LUX,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2000,13.65228
Madagascar,MDG,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2000,1.46215
Malawi,MWI,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2000,3.00077
